Status,Date,Description,Debit,Credit
Cleared,09/21/2025,"THE HOME DEPOT #4641 RESTON VA",199.99,
Cleared,09/21/2025,"STARBUCKS COFFEE #12345",4.75,
Cleared,09/20/2025,"TARGET RETURN",,50.00
Cleared,09/19/2025,"WHOLE FOODS MARKET",125.50,
Cleared,09/18/2025,"SHELL GAS STATION",52.30,
Cleared,09/17/2025,"AMAZON.COM",89.99,
Cleared,09/16/2025,"NETFLIX.COM SUBSCRIPTION",15.99,
Cleared,09/15/2025,"CHIPOTLE MEXICAN GRILL",12.50,
Cleared,09/14/2025,"CVS PHARMACY #8765",23.45,
Cleared,09/13/2025,"UBER TRIP",18.50,
Cleared,09/12/2025,"LA FITNESS",49.99,
Cleared,09/11/2025,"TRADER JOES",78.25,
Cleared,09/10/2025,"MCDONALDS",8.99,
Cleared,09/09/2025,"VERIZON WIRELESS",85.00,
Cleared,09/08/2025,"LOWES #01125",224.00,
Cleared,09/07/2025,"PANERA BREAD",14.25,
Cleared,09/06/2025,"COSTCO WHOLESALE",234.56,
Cleared,09/05/2025,"SPOTIFY PREMIUM",9.99,
Cleared,09/04/2025,"WALGREENS #3456",34.50,
Cleared,09/03/2025,"SOUTHWEST AIRLINES",250.00,
Pending,09/02/2025,"AIRBNB RESERVATION",450.00,

